rank wordform abs r
342 pretty 1266 29
343 husband 1418 27
344 certain 1246 28
345 others 1266 29
346 ought 1273 29
347 does 1293 29
348 known 1205 29
349 it's 2068 23
350 bed 1249 29
351 table 1231 28
352 that's 1578 26
353 ready 1161 29
354 read 1165 29
355 already 1177 29
356 pleasure 1225 29
357 either 1187 29
358 means 1178 29
359 spoke 1142 29
360 taking 1138 29
361 friends 1203 29
362 talk 1176 29
363 hard 1205 29
364 walked 1198 29
365 turn 1128 29
366 strong 1154 28
367 thus 1227 27
368 yourself 1157 29
369 high 1136 29
370 along 1248 29
371 above 1125 29
372 feeling 1240 29
373 glad 1123 29
374 children 1246 29
375 doubt 1143 29
376 nature 1172 27
377 themselves 1111 29
378 black 1233 28
379 hardly 1138 29
380 town 1174 28
381 sense 1126 29
382 saying 1090 29
383 deal 1130 29
384 account 1159 28
385 use 1103 29
386 white 1209 29
387 bad 1101 29
388 everything 1243 27
389 can't 1380 26
390 neither 1119 29
391 wanted 1158 29
392 mine 1104 29
393 close 1095 29
394 return 1101 28
395 dark 1207 29
396 fell 1095 29
397 subject 1136 28
398 bear 1028 28
399 appeared 1060 28
400 fear 1081 29
401 state 1049 29
402 thinking 1045 29
403 also 1101 29
404 point 1031 28
405 therefore 1332 27
406 fine 1059 29
407 case 1002 29
408 doing 1004 29
409 held 1024 29
410 certainly 1098 29
411 walk 1010 29
412 lost 975 29
413 question 1013 29
414 company 1049 28
415 continued 1076 29
416 fellow 1117 28
417 truth 1056 28
418 water 1133 29
419 possible 1024 29
420 hold 986 29
421 afraid 1003 29
422 bring 957 29
423 honour 1247 29
424 low 977 29
425 ground 1015 29
426 added 1006 29
427 five 970 29
428 remember 979 29
429 except 1004 29
430 power 1011 27
431 seeing 977 29
432 dead 1019 29
433 I'm 1464 24
434 usual 944 29
435 able 991 29
436 second 925 29
437 arms 1015 28
438 late 929 29
439 opinion 1051 29
440 window 1002 28
441 brother 1135 26
442 live 913 29
443 four 943 29
444 none 949 29
445 death 948 28
446 arm 961 29
447 road 968 28
448 hair 989 29
449 sister 1290 26
450 entered 960 27
451 sent 911 29
452 married 1040 25
453 longer 933 29
454 immediately 1028 28
455 god 1110 27
456 women 1031 26
457 hours 886 29
458 ten 901 29
459 understand 912 29
460 son 998 29
461 horse 1147 28
462 wonder 892 29
463 cold 931 29
464 beyond 908 28
465 please 881 29
466 fair 936 29
467 became 891 28
468 sight 881 29
469 met 883 29
470 afterwards 895 28
471 eye 917 29
472 year 889 29
473 show 892 28
474 general 923 29
475 itself 854 29
476 silence 883 29
477 lord 998 27
478 wrong 847 29
479 turning 846 29
480 daughter 1009 26
481 stay 836 29
482 forward 847 27
483 O 1125 25
484 interest 847 29
485 thoughts 869 28
486 followed 839 29
487 won't 1075 25
488 different 818 29
489 opened 826 29
490 several 940 29
491 idea 880 28
492 received 904 27
493 change 835 29
494 laid 818 29
495 strange 829 29
496 nobody 889 27
497 fact 853 29
498 during 856 28
499 feet 932 29
500 tears 806 29
501 run 838 29
502 purpose 824 29
503 character 866 27
504 body 896 29
505 ran 854 29
506 past 797 29
507 order 894 28
508 need 790 28
509 pleased 846 28
510 trouble 780 29
511 whatever 786 29
512 dinner 860 29
513 happened 808 29
514 sitting 802 29
515 getting 850 29
516 there's 1046 26
517 besides 808 29
518 soul 830 26
519 ill 774 28
520 early 767 27
521 rose 891 29
522 aunt 1411 20
523 hundred 831 29
524 minutes 831 29
525 across 848 29
526 carried 781 29
527 sit 755 29
528 observed 861 25
529 suddenly 832 29
530 creature 767 29
531 conversation 803 29
532 worse 737 29
533 six 758 29
534 quiet 760 29
535 chair 802 28
536 doctor 1125 25
537 tone 831 29
538 standing 771 29
539 living 754 28
540 sorry 770 29
541 stand 745 29
542 meet 717 29
543 instead 725 29
544 wished 788 27
545 ah 827 27
546 lived 729 28
547 try 751 29
548 red 867 29
549 smile 728 29
550 sound 749 29
551 expected 719 29
552 silent 727 29
553 common 711 29
554 meant 739 29
555 tried 751 29
556 until 1036 25
557 mouth 768 29
558 distance 712 29
559 occasion 791 26
560 cut 748 28
561 marry 827 22
562 likely 710 29
563 length 741 28
564 story 704 28
565 visit 754 29
566 deep 692 29
567 seems 674 29
568 street 870 26
569 remained 723 27
570 become 680 29
571 led 676 29
572 speaking 691 29
573 natural 679 29
574 giving 668 29
575 further 730 28
576 struck 675 29
577 week 695 29
578 loved 749 26
579 drew 689 29
580 seem 661 29
581 church 739 26
582 knows 660 29
583 object 725 24
584 ladies 878 23
585 marriage 814 22
586 book 670 29
587 appearance 677 27
588 pay 683 28
589 I've 1003 23
590 obliged 741 28
591 particular 656 29
592 pass 628 29
593 thank 663 28
594 form 700 26
595 knowing 678 29
596 lips 674 29
597 knowledge 671 28
598 former 691 25
599 blood 697 26
600 sake 638 27
601 fortune 764 26
602 necessary 680 25
603 presence 661 26
604 feelings 833 26
605 corner 695 29
606 beautiful 642 29
607 talking 654 29
608 spirit 613 27
609 ago 622 29
610 foot 659 29
611 circumstances 650 28
612 wind 699 29
613 presently 644 28
614 comes 627 29
615 attention 684 28
616 wait 600 29
617 play 662 29
618 easy 613 29
619 real 614 29
620 clear 623 29
621 worth 610 29
622 cause 610 29
623 send 591 29
624 spirits 674 26
625 chance 617 29
